,Title,Description,Release Date,Metascore,User Score
50,The Evil Within 2,"You are Detective Sebastian Castellanos and at your lowest point. But when given a chance to save your daughter, you must enter a world filled with nightmares and discover the dark origins of a once-idyllic town to bring her back. Horrifying threats emerge from every corner as the world twists and warps around you. Will you face adversity head on with weapons and traps, or sneak through the shadows to survive?","October 12, 2017",80,8.8
51,Amnesia: Rebirth,"You can't let out a breath. The creature is only inches away. Its sole purpose - to feed off your terror. And so you crouch in the dark, trying to stop the fear rising, trying to silence what lies within you. ""I know you. I know what you're capable of."" In Amnesia: Rebirth, you are Tasi Trianon, waking up deep in the desert of Algeria. Days have passed. Where have you been? What did you do? Where are the others? Retrace your journey, pull together the fragments of your shattered past; it is your only chance to survive the pitiless horror that threatens to devour you.

""Do not allow yourself anger, do not allow yourself to fear.""

Time is against you. Step into Tasi's shoes and guide her through her personal terror and pain. While you struggle to make your way through a desolate landscape, you must also struggle with your own hopes, fears, and bitter regrets. And still you must continue, step by step, knowing that if you fail you will lose everything.

* First-person narrative horror experience
* Explore environments and uncover their histories.
* Overcome puzzles that stand in your way.
* Carefully manage your limited resources, both physical and mental.
* Encounter horrific creatures and use your wits and understanding of the world to escape them.","October 20, 2020",80,6.4
52,The Banner Saga,Live through an epic role-playing Viking saga where your strategic choices directly affect your personal journey. Make allies as you travel with your caravan across this stunning yet harsh landscape. Carefully choose those who will help fight a new threat that jeopardizes an entire civilization.,"January 14, 2014",80,8.0
53,Sam & Max Episode 202: Moai Better Blues,"A surprise trip to the tropics turns into a working vacation when Sam & Max sign up to stop a massive volcano eruption. Will their special blend of bewildering wit and renegade justice be enough to win over the gods, not to mention the locals? [GameTap]","January 10, 2008",80,7.0
54,Age of Wonders III - Eternal Lords,"Eternal Lords is the major, second expansion for the acclaimed strategy game Age of Wonders III. With the introduction of the Tigran and Frostling races and the new Necromancer class, players must adapt to a world on the brink of cataclysmic change. New features such as the Race Governance system, which allows players to tailor features of each race in their empire to meet their strategic needs, add new layers of depth to empire development and diplomacy.","April 14, 2015",80,8.4
55,Pro Evolution Soccer 2013,Pro Evolution Soccer 2013 brings Konami's football franchise back for another year.,"September 25, 2012",80,7.1
56,Osmos,"Enter the ambient world of Osmos: elegant, physics-based gameplay, dreamlike visuals, and a minimalist, electronic soundtrack. Your objective is to grow by absorbing other motes. Propel yourself by ejecting matter behind you. But be wise: ejecting matter also shrinks you. Relax - good things come to those who wait. [Steam]","August 18, 2009",80,7.6
57,Hand of Fate 2,Hand of Fate 2 is a dungeon crawler set in a world of dark fantasy. Master a living board game where every stage of the adventure is drawn from a deck of legendary encounters chosen by you.,"November 7, 2017",80,7.4
58,Dungeon Siege II,"It's been a generation since you vanquished the evil that plagued the Land of Ehb, and now a new menace has awakened. In Dungeon Siege II, you will be called on to again wield sword and spell to save the world from a growing abomination many years in the making. A thousand years ago, the crusaders of Azunai crossed swords with the legions of Zaramoth in the final battle of a century-long rebellion. As the tyrannical god Zaramoth struck the final blow through Azunai's trembling shield, the earth shook. In that moment, the forces of magic were unchained, and both armies were consumed in a brilliant cataclysm that stretched for leagues across the Plain of Tears. Only a scarred wasteland remained as final testament to the First Age of Man. And for a millennium, magic has continued to spread to the farthest corners of the world, freely flowing to any who would command it. But the tide of magic has begun to wane, heeding instead the call of an ancient legacy. From the Plain of Tears a new heir beckons, and with each day his strength grows. Consuming those who submit, eradicating those who resist. With none to oppose his ascendance, the circle will be complete, and an ancient age will begin anew. What fate will befall the Second Age of Man? The time for judgment is nigh. [Microsoft]","August 16, 2005",80,7.8
59,Dead Island,"A couple flying to the vacation of their dreams is torn apart by a violent plane crash. Take on a harrowing quest to find your lost wife. Enter into the dark world of a devastated tropical paradise now plunged into chaos. It's a place where the word ""dead"" has an entirely new meaning. Face the nightmare and fight for survival. Explore the secrets hidden in the darkest regions of the island and fight your way through. Survival is your main goal! Dead Island is a non-linear FPP (First Person Perspective) survival horror title. The ultra-realistic combat system will ensure that every confrontation is a thrilling experience. Use anything you find in your surroundings as a weapon. Make decisions that influence the entire world around you. Take advantage of opponent behavior and game physics. Dead Island is a mix of intense action and chilling horror environments in an engaging, strikingly realistic story. [Techland]","September 5, 2011",80,6.9
60,Sam & Max Episode 104: Abe Lincoln Must Die!,"The president's lost it. Federally mandated group hugs, a pudding embargo...what's next, gun control? Sam & Max are off to Washington to take care of this bozo, but the political climate will only get stormier...and a new power will rise. [TellTale Games]","February 22, 2007",80,7.4
